Dataset,Adj_method,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,nothing,40.073411988,15.46164505709816,5.018927908168895,12.604847392907981,15.138846538129163,4.826521931151069,12.292368255149297,47,1.0*log(0.0+1.0*(x_3^-3.0 * x_4^3.0)) + 1.0*log(0.0+1.0*(x_4^3.0 * x_5^-3.0)) + 1.0*log(0.0+1.0*(x_1^3.0 * x_5^-3.0)) + 1.0*log(0.0+1.0*(x_1^3.0 * x_4^3.0)) + 0.0
concrete,nothing,20.2695308,11.656080597024443,0.4805639305554231,9.141569991366667,11.904483426717789,0.5306728664655874,9.172820467773173,44,1.0*sqrt(0.0+1.0*(x_5^2.0)) + 1.0*log(0.0+1.0*(x_1^1.0 * x_4^-2.0)) + 1.0*log(0.0+1.0*(x_1^1.0 * x_8^3.0)) + 1.0*log(0.0+1.0*(x_1^2.0 * x_8^3.0)) + 0.0
energyCooling,nothing,21.44319629,2.929209176184164,0.09473076266141248,2.0043431755932306,3.0970769718743782,0.10515747900274931,2.040280452709088,47,1.0*cos(0.0+1.0*(x_4^3.0 * x_5^3.0)) + 1.0*cos(0.0+1.0*(x_2^2.0 * x_5^-2.0)) + 1.0*sqrt(0.0+1.0*(x_1^-3.0 * x_5^3.0)) + 1.0*sqrt(0.0+1.0*(x_5^3.0 * x_7^1.0)) + 0.0
energyHeating,nothing,17.568665921,2.7591446370449613,0.0750359828753407,2.1534094739461294,2.8298027612108987,0.07799206816674609,2.24829021255099,47,1.0*sqrt(0.0+1.0*(x_1^-3.0 * x_5^3.0)) + 1.0*sqrt(0.0+1.0*(x_5^2.0 * x_7^1.0)) + 1.0*sqrt(0.0+1.0*(x_5^3.0 * x_7^2.0)) + 1.0*cos(0.0+1.0*(x_1^1.0 * x_5^2.0)) + 0.0
wineRed,nothing,49.427850241,0.7205718064750264,0.7910414331995007,0.5692999490127431,0.7202681050151019,0.8122407693628488,0.5697443121584967,47,1.0*sqrt(0.0+1.0*(x_2^-3.0 * x_7^-3.0)) + 1.0*log(0.0+1.0*(x_8^-3.0 * x_9^1.0)) + 1.0*cos(0.0+1.0*(x_8^3.0 * x_10^-1.0)) + 1.0*log(0.0+1.0*(x_1^1.0 * x_11^1.0)) + 0.0
yacht,nothing,8.530155555,6.982805570232848,0.2062445273187988,4.595002198685336,7.565799843235724,0.2772758924972755,4.990425461514672,41,1.0*sin(0.0+1.0*(x_6^-3.0)) + 1.0*tan(0.0+1.0*(x_6^-3.0)) + 1.0*identity(0.0+1.0*(x_5^3.0 * x_6^2.0)) + 1.0*identity(0.0+1.0*(x_3^3.0 * x_6^3.0)) + 0.0
airfoil,ordinary_least_squares_adj,35.81475692,4.017581193638116,0.33886669263320485,3.132618397620053,3.792627995955074,0.30292087584890426,2.891887212208692,49,-0.082*identity(0.0+1.0*(x_1^-1.0 * x_3^-3.0)) + 1.14*log(0.0+1.0*(x_1^-1.0 * x_3^-3.0)) + -0.597*log(0.0+1.0*(x_4^-1.0 * x_5^2.0)) + -0.019*sqrt(0.0+1.0*(x_1^2.0 * x_5^1.0)) + 122.0
concrete,ordinary_least_squares_adj,22.201277745,8.489310427204401,0.2549123735906567,6.457077692307055,8.583625755784718,0.2758972181299728,6.818413248283101,46,-7.041*log(0.0+1.0*(x_7^-2.0)) + 724.426*sin(0.0+1.0*(x_5^1.0 * x_7^-1.0)) + 42.758*sin(0.0+1.0*(x_2^1.0 * x_7^-1.0)) + 8.218*log(0.0+1.0*(x_1^3.0 * x_8^1.0)) + -231.0
energyCooling,ordinary_least_squares_adj,20.119237974,2.4063628203234964,0.06393114454273693,1.6723717224664063,2.513905644357586,0.06928418521920955,1.744543252835791,46,4.239*sqrt(0.0+1.0*(x_7^1.0)) + 1.987*sqrt(0.0+1.0*(x_5^2.0 * x_7^2.0)) + -4.206*sin(0.0+1.0*(x_3^2.0 * x_5^-3.0)) + 8.264*log(0.0+1.0*(x_3^2.0 * x_5^3.0)) + -115.0
energyHeating,ordinary_least_squares_adj,23.849842514,2.1280457992249606,0.044635723862345766,1.5621278116175736,2.5576045176775852,0.06370960107533233,1.8408557933478555,43,-0.22*tan(0.0+1.0*(x_1^-2.0)) + 10.84*tan(0.0+1.0*(x_1^-1.0 * x_7^1.0)) + -253311.675*tan(0.0+1.0*(x_2^-1.0 * x_5^-2.0)) + 1.939*sin(0.0+1.0*(x_3^3.0)) + 37.0
