Dataset,Fold,Rep,Conf,Error
airfoil,0,0,1,10.00534491700836
airfoil,0,1,1,18.1747116605358
airfoil,1,0,1,9.556463186664994
airfoil,1,1,1,16.219850077938062
airfoil,2,0,1,15.01140984615004
airfoil,2,1,1,16.075685426006086
airfoil,3,0,1,9.59029997980365
airfoil,3,1,1,9.648888507250135
airfoil,4,0,1,9.203833549099736
airfoil,4,1,1,16.87144317949865
airfoil,0,2,1,16.770761848553676
airfoil,0,3,1,8.581535571909615
airfoil,0,4,1,8.652603453826964
airfoil,0,5,1,9.65163763650588
airfoil,1,2,1,8.306775759998335
airfoil,1,3,1,17.561675491525264
airfoil,1,4,1,9.574878960885819
airfoil,1,5,1,8.697752536722916
airfoil,2,2,1,8.785824810827812
airfoil,2,3,1,16.0031399440004
airfoil,2,4,1,7.864754410770018
airfoil,2,5,1,16.10700570648908
airfoil,3,2,1,9.331488454374023
airfoil,3,3,1,8.492193582805136
airfoil,3,4,1,16.61101884186614
airfoil,3,5,1,8.958906832204391
airfoil,4,2,1,10.009691438172162
airfoil,4,3,1,8.78606671977693
airfoil,4,4,1,10.087916577524794
airfoil,4,5,1,10.985080122374336
airfoil,0,2,2,8.363766161333167
airfoil,0,0,2,7.820109252349797
airfoil,0,1,2,8.82713569650973
airfoil,0,3,2,8.72823755306198
airfoil,0,4,2,8.951406598505677
airfoil,0,5,2,8.874762344983662
airfoil,1,0,2,9.40471391486721
airfoil,1,1,2,8.398485845542945
airfoil,1,2,2,8.705252897842026
airfoil,1,3,2,9.556463186664994
airfoil,1,4,2,9.924299805101278
airfoil,1,5,2,9.11472694010988
airfoil,2,0,2,8.493520989182466
airfoil,2,1,2,8.05581726344833
airfoil,2,2,2,8.933434907990703
airfoil,2,3,2,9.493760573908247
airfoil,2,4,2,8.339652739294921
airfoil,2,5,2,8.913744907743183
airfoil,3,0,2,14.930520638691483
airfoil,3,1,2,8.416032503587612
airfoil,3,2,2,8.606961592461865
airfoil,3,3,2,8.60822819781375
airfoil,3,4,2,8.796581221824738
airfoil,3,5,2,9.581358137941189
airfoil,4,0,2,9.852606382983977
