Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,0,0,498.626804303,2.5133298355861085,0.13261679640998278,1.9040406072664653,2.7316496544916182,0.15714432714195564,1.8911509388805112,205,55.403*log( 199.26+12.807*(x_1^-2.0 * x_5^-2.0) ) + -1.986*log( 1.0+1.0*(x_1^-1.0 * x_3^-3.0) ) + 4.987*log( 1.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + -48.478*log( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + -20.744*log( 1.0+1.0*(x_1^-1.0 * x_4^3.0) ) + -13.357*log( 1.0+1.0*(x_5^-2.0) ) + -332.85*log( 1.0+1.0*(x_5^1.0) ) + 25.841*log( 1.0+1.0*(x_4^3.0 * x_5^-1.0) ) + 2.229*log( 1.0+1.0*(x_4^3.0 * x_5^2.0) ) + 6.729*log( 1.0+1.0*(x_3^3.0 * x_4^3.0) ) + -0.407*log( 1.0+1.0*(x_2^1.0 * x_3^-2.0) ) + -12.003*log( 959050.903+161531.065*(x_1^1.0 * x_4^3.0) ) + -17.758*log( 1.0+1.0*(x_1^1.0 * x_3^2.0) ) + 3.136*log( 1.0+1.0*(x_1^1.0 * x_3^3.0) ) + -0.0*sqrt( 1.0+1.0*(x_1^2.0 * x_3^-1.0) ) + 9.0
airfoil,0,1,455.286950112,2.524758726995718,0.13382563819341053,1.9025042745861958,2.7866394172215254,0.16353482955985613,1.9241462003773602,205,-13.208*log( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + -36.103*sqrt( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 1.58*sqrt( 1.0+1.0*(x_3^-3.0 * x_4^-2.0) ) + 0.015*sqrt( 1.0+1.0*(x_3^-2.0 * x_4^1.0) ) + 0.894*sqrt( 1.0+1.0*(x_4^2.0 * x_5^1.0) ) + -3585.327*sqrt( 1.0+1.0*(x_3^1.0 * x_5^1.0) ) + -2.062*sqrt( 1.0+1.0*(x_3^2.0 * x_5^-1.0) ) + -4.522*sqrt( 1.0+1.0*(x_2^1.0) ) + 57.334*sqrt( 1.0+1.0*(x_2^1.0 * x_3^3.0) ) + -0.114*sqrt( 1.0+1.0*(x_1^1.0) ) + -2.97*sqrt( 1.0+1.0*(x_1^1.0 * x_5^1.0) ) + -0.446*sqrt( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + -0.14*sqrt( 1.0+1.0*(x_1^2.0 * x_4^-3.0) ) + 0.115*sqrt( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + 0.006*sqrt( 1.0+1.0*(x_1^2.0 * x_3^2.0) ) + 3725.0
airfoil,0,2,1509.258630797,2.734266686016467,0.15695722119522518,2.120352357053054,2.8606191102223164,0.17233313237891615,2.1367136224355865,196,4.529*identity( -71.598+17885.98*(x_1^-3.0 * x_3^-2.0) ) + 145.759*identity( -17.98+8030.305*(x_1^-3.0 * x_5^-1.0) ) + 89.218*identity( -10.246+-81.69*(x_1^-2.0 * x_5^-1.0) ) + 10.53*identity( -65.404+-40768.771*(x_1^-2.0) ) + -2.283*identity( -5.057+-0.093*(x_1^-1.0 * x_3^-3.0) ) + 173.58*identity( 25.063+-0.08*(x_1^-1.0 * x_3^-2.0) ) + 10.714*identity( 17.594+326.661*(x_1^-1.0) ) + 2.857*identity( -19.62+0.057*(x_3^-2.0 * x_4^-1.0) ) + 1.763*identity( 69.369+-2684.941*(x_5^2.0) ) + 2.13*identity( 46.746+0.045*(x_4^1.0) ) + -0.573*identity( 88.954+-49.049*(x_4^1.0 * x_5^2.0) ) + 2.736*identity( 5.545+-9.85*(x_3^1.0) ) + -0.053*sqrt( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + 0.0*sqrt( 1.0+1.0*(x_1^3.0 * x_5^1.0) ) + 0.002*sqrt( 1.0+1.0*(x_1^3.0 * x_5^2.0) ) + -1.0
airfoil,0,3,813.118975688,2.691648146041317,0.15210242392343887,2.0491317132359583,2.9426676477116414,0.1823606535098384,2.052279736499035,199,-0.064*identity( -485.967+-0.042*(x_1^-2.0 * x_5^-3.0) ) + 2106.677*identity( 7.143+-0.046*(x_1^-1.0 * x_3^-1.0) ) + 2.165*identity( 10.516+700531.835*(x_1^-1.0 * x_4^-2.0) ) + 369.905*identity( -18.747+-0.059*(x_1^-1.0 * x_5^-1.0) ) + 0.079*log( 1.0+1.0*(x_3^-3.0 * x_4^2.0) ) + -4133.492*sin( 56.922+-0.048*(x_3^-1.0 * x_4^-2.0) ) + -0.662*sin( 64.611+-64.13*(x_3^-1.0) ) + 990.318*sqrt( 19.052+-51.338*(x_4^-2.0) ) + -2059.8*sqrt( 0.201+0.168*(x_5^1.0) ) + 0.708*sqrt( 1.0+1.0*(x_4^2.0 * x_5^1.0) ) + -1.587*sqrt( 1.0+1.0*(x_2^2.0) ) + 0.936*sqrt( 1.0+1.0*(x_2^3.0 * x_5^1.0) ) + -2.598*sqrt( 889786.804+0.007*(x_1^1.0 * x_3^-1.0) ) + -1.387*sqrt( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + 0.011*sqrt( 1.0+1.0*(x_1^2.0 * x_3^2.0) ) + -7450.0
airfoil,0,4,724.825160835,2.5993658428684205,0.14185164437186726,2.0111113845011763,2.819090334320166,0.1673657915460495,1.9894414946622128,205,0.876*sin( 126.901+-3.783610252e6*(x_1^-3.0 * x_4^1.0) ) + -10.592*sqrt( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + -33.515*sqrt( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 10.494*sqrt( 1.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + 0.135*sqrt( 7155.161+26577.269*(x_4^-3.0 * x_5^-1.0) ) + 1.763*sqrt( 1218.545+-113168.708*(x_5^2.0) ) + 0.389*sqrt( 2735.733+13.3*(x_4^1.0) ) + 0.014*sqrt( 1.1306591486e7+18.461*(x_3^1.0 * x_5^-2.0) ) + -214.314*sqrt( 1.0+1.0*(x_2^2.0 * x_4^-2.0) ) + 296.807*sqrt( 1.0+1.0*(x_2^3.0 * x_4^-3.0) ) + -1.029*sqrt( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + -0.037*sqrt( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + 0.007*sqrt( 1.0+1.0*(x_1^2.0 * x_3^1.0) ) + -0.0*sqrt( 1.0+1.0*(x_1^3.0 * x_4^-2.0) ) + 0.002*sqrt( 1.0+1.0*(x_1^3.0 * x_5^2.0) ) + -45.0
airfoil,0,5,863.710895219,2.5796360660627937,0.13970644430193882,1.949203884707345,2.831480732784401,0.16884022890122716,2.0725815726390078,202,8598.215*cos( -82.943+0.249*(x_1^-3.0 * x_3^-3.0) ) + 0.618*cos( 23384.371+-305910.253*(x_1^-2.0 * x_3^-2.0) ) + -0.396*cos( 29.088+-1.043056342e6*(x_1^-2.0) ) + -274.154*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -40314.124*log( 1.0+1.0*(x_5^-3.0) ) + -22.475*log( 1.0+1.0*(x_3^2.0 * x_4^2.0) ) + 20.36*log( 1.0+1.0*(x_3^3.0 * x_4^3.0) ) + 5.167*log( 1.0+1.0*(x_2^2.0 * x_3^3.0) ) + -0.84*log( 1.0+1.0*(x_2^3.0) ) + -6035.905*log( 1.0+1.0*(x_1^1.0 * x_3^-3.0) ) + 60461.997*log( 1.0+1.0*(x_1^1.0 * x_5^-2.0) ) + -52.771*log( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + 27.953*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + -6.028*log( 1.0+1.0*(x_1^3.0 * x_4^2.0) ) + -18131.938*log( 1.0+1.0*(x_1^3.0 * x_3^1.0) ) + -2462.0
airfoil,1,0,372.161019377,2.5692652167635712,0.13643626730017885,1.914944665930094,2.4808762527049786,0.13725475073573826,1.8968352347781774,211,-138.136*log( 13.882+84190.689*(x_4^3.0 * x_5^-2.0) ) + -255130.85*log( 1.0+1.0*(x_3^1.0 * x_5^3.0) ) + 206.718*log( 1.0+1.0*(x_3^1.0 * x_4^2.0) ) + -64.212*log( 1.0+1.0*(x_2^1.0 * x_4^-1.0) ) + 4.072*log( 1.0+1.0*(x_2^1.0 * x_3^1.0) ) + -111.477*log( 23.981+-8.087*(x_2^2.0 * x_4^-2.0) ) + -4.034*log( 1.0+1.0*(x_1^1.0 * x_4^-2.0) ) + -236.694*log( 1.0+1.0*(x_1^1.0 * x_3^1.0) ) + -255.67*log( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + -51.185*log( 1.0+1.0*(x_1^2.0 * x_5^2.0) ) + 16218.687*log( 1.0+1.0*(x_1^2.0 * x_3^1.0) ) + -1063.629*log( 1.0+1.0*(x_1^2.0 * x_3^2.0) ) + 26.514*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + -15478.046*log( 1.0+1.0*(x_1^3.0 * x_3^2.0) ) + 5629.165*log( 1.0+1.0*(x_1^3.0 * x_3^3.0) ) + 2089.0
airfoil,1,1,835.587362938,2.702159857323126,0.15091556372967982,2.025779005124744,2.5614018255856608,0.14630952854142668,1.9307857350930415,208,39.872*log( 1.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + -84.919*log( 1.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + -14.068*log( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 42.636*log( 1.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 133.371*log( 1.0+1.0*(x_3^-2.0 * x_4^-3.0) ) + 1.594*log( 1.0+1.0*(x_3^-2.0 * x_5^1.0) ) + 1.905*log( 3.4237362028e7+1.3903147665e7*(x_3^-2.0 * x_4^3.0) ) + 0.173*sin( 55.448+-24.726*(x_4^3.0) ) + 1.356*sin( -29.986+-89.313*(x_2^1.0 * x_5^2.0) ) + 1.264*sin( 94.694+-34.577*(x_2^2.0 * x_3^-2.0) ) + 0.161*sin( 49.247+-98.51*(x_1^1.0 * x_3^-3.0) ) + -3.125*sqrt( 1.0+1.0*(x_1^1.0 * x_5^2.0) ) + -0.049*sqrt( 1.0+1.0*(x_1^2.0 * x_5^1.0) ) + 0.004*sqrt( 1.0+1.0*(x_1^3.0 * x_5^2.0) ) + -0.006*sqrt( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + 70.0
airfoil,1,2,806.997337922,2.5564163053605915,0.13507504232931847,1.9071848735685761,2.496346198750537,0.13897184062879198,1.824467418364769,205,137146.582*log( 1.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + -53.031*log( 1.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + 1.65*log( 2.7704273723e7+1.44466962329e8*(x_1^-1.0 * x_3^-3.0) ) + -334.396*log( 1.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 0.974*log( 1.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 9.271*log( 1.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + -2.888*log( 1.0+1.0*(x_3^-3.0 * x_4^-2.0) ) + 1.694*log( 2.5805850795e7+2.6042584594e7*(x_4^-3.0 * x_5^-2.0) ) + -43422.139*log( 1.0+1.0*(x_5^-3.0) ) + -0.242*log( 1.0+1.0*(x_2^3.0 * x_3^-2.0) ) + 2.632*log( 1.0+1.0*(x_1^1.0 * x_3^-2.0) ) + -3.173*log( 1.0+1.0*(x_1^1.0 * x_4^-2.0) ) + 65175.209*log( 1.0+1.0*(x_1^3.0 * x_5^-2.0) ) + -65205.322*log( 1.0+1.0*(x_1^3.0) ) + 26.99*log( 1.0+1.0*(x_1^3.0 * x_5^3.0) ) + 95.0
airfoil,1,3,498.174633187,2.6455925824209006,0.1446631385073688,1.9654203132385542,2.5514185075959754,0.14517123933533047,1.9112299125257635,197,-14.194*log( 1.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 15.757*log( 1.518877764e6+6.430603125e6*(x_1^-1.0 * x_5^-3.0) ) + -8.952*log( 95105.754+6.695241883e6*(x_1^-1.0 * x_4^1.0) ) + -0.928*log( 1.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 6.532*log( 1.0+1.0*(x_3^-2.0 * x_4^-2.0) ) + 23.026*log( 1.0+1.0*(x_3^-2.0 * x_4^3.0) ) + 1.552*log( 2.1048483645e7+3.0093689398e7*(x_4^-3.0 * x_5^-2.0) ) + 76919.874*log( 1.0+1.0*(x_4^1.0 * x_5^-3.0) ) + -123074.846*log( 1.0+1.0*(x_4^1.0 * x_5^-2.0) ) + 15346.434*log( 1.0+1.0*(x_4^3.0 * x_5^-1.0) ) + 20.686*log( 3.292133236e7+2.1419851472e7*(x_3^2.0 * x_4^3.0) ) + -0.115*log( 1.0+1.0*(x_2^1.0 * x_4^3.0) ) + 29.497*log( 1.0+1.0*(x_1^1.0 * x_5^1.0) ) + -14.124*log( 4.0259130345e7+4.023301239e6*(x_1^2.0 * x_5^2.0) ) + -137.0
