Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,0,0,145.13977588,8.548192815346404,1.5340806018150188,7.058212183159644,8.764632065455285,1.617767436825025,7.143712181618172,173,1.0*cos( 0.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + 1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*log( 0.0+1.0*(x_1^-3.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^-2.0 * x_4^3.0) ) + 1.0*sqrt( 0.0+1.0*(x_1^-1.0 * x_2^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-1.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_4^-2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_3^2.0) ) + 1.0*log( 0.0+1.0*(x_1^1.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0 * x_4^1.0) ) + 0.0
airfoil,0,1,159.623036975,15.662875884783396,5.15041912615329,12.989142076381786,15.97441499071341,5.37401204932626,13.064628612329592,167,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*cos( 0.0+1.0*(x_3^1.0 * x_4^3.0) ) + 1.0*identity( 0.0+1.0*(x_2^2.0 * x_4^-1.0) ) + 1.0*identity( 0.0+1.0*(x_2^3.0 * x_3^3.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^-2.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-1.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0 * x_5^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_4^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_3^2.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0 * x_4^1.0) ) + 1.0*tan( 0.0+1.0*(x_3^2.0 * x_4^2.0) ) + 0.0
airfoil,0,2,130.551941893,9.215610009228584,1.7829851850775789,7.637916861199822,9.308491568119832,1.8247666294123681,7.643957437285121,173,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*cos( 0.0+1.0*(x_3^3.0 * x_4^1.0) ) + 1.0*log( 0.0+1.0*(x_1^-3.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^-2.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-2.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_3^3.0 * x_4^1.0) ) + 1.0*log( 0.0+1.0*(x_3^3.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^1.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0 * x_3^-1.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0 * x_4^3.0) ) + 0.0
airfoil,0,3,134.504336256,20.953648643721927,9.21762155796266,16.137976343461474,20.9031412678191,9.201779496661436,15.93439014987689,170,1.0*log( 0.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_1^-2.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_1^-2.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_4^2.0 * x_5^-1.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0 * x_5^-3.0) ) + 1.0*sqrt( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0 * x_3^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_3^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_1^1.0) ) + 1.0*tan( 0.0+1.0*(x_1^3.0) ) + 0.0
airfoil,0,4,142.98813289,16.660733015327775,5.827573623991922,13.96098109765946,16.929476180421915,6.035812666882949,14.198978707886127,158,1.0*log( 0.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-1.0) ) + 1.0*cos( 0.0+1.0*(x_3^-2.0 * x_4^3.0) ) + 1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*identity( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*identity( 0.0+1.0*(x_2^2.0 * x_4^-1.0) ) + 1.0*identity( 0.0+1.0*(x_2^3.0 * x_3^3.0) ) + 1.0*log( 0.0+1.0*(x_1^2.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0) ) + 1.0*sin( 0.0+1.0*(x_1^1.0 * x_4^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^1.0) ) + 1.0*tan( 0.0+1.0*(x_1^2.0) ) + 1.0*tan( 0.0+1.0*(x_1^3.0) ) + 0.0
airfoil,0,5,152.476220868,8.273388646503916,1.4370319070255406,6.649256978746325,8.2802205937207,1.443884734235893,6.451067470418685,167,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*exp( 0.0+1.0*(x_2^1.0 * x_3^1.0) ) + 1.0*log( 0.0+1.0*(x_1^-2.0 * x_4^3.0) ) + 1.0*identity( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_3^-1.0 * x_5^-3.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0) ) + 1.0*log( 0.0+1.0*(x_4^1.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_3^1.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_1^2.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_1^3.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0 * x_4^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0) ) + 0.0
airfoil,1,0,151.161561,14.858724556935135,4.563257944987767,12.561689651156396,15.58118609352802,5.413999490930661,13.429122898923243,167,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*identity( 0.0+1.0*(x_2^3.0 * x_3^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-2.0 * x_5^-1.0) ) + 1.0*log( 0.0+1.0*(x_3^-1.0 * x_5^-3.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0 * x_4^1.0) ) + 1.0*log( 0.0+1.0*(x_4^-3.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_4^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^-1.0 * x_5^-3.0) ) + 1.0*sqrt( 0.0+1.0*(x_4^2.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^2.0 * x_3^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_3^2.0) ) + 0.0
airfoil,1,1,175.04822713,15.2863567202009,4.829697546689808,12.5304189345865,15.662205751524251,5.470449727027889,12.87738861838488,167,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_3^-2.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^-2.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_3^1.0 * x_4^-2.0) ) + 1.0*log( 0.0+1.0*(x_1^1.0 * x_5^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_4^2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_3^1.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0 * x_4^1.0) ) + 1.0*tan( 0.0+1.0*(x_5^-3.0) ) + 1.0*tan( 0.0+1.0*(x_4^3.0 * x_5^2.0) ) + 0.0
airfoil,1,2,174.233773595,15.471576914916662,4.947446606054398,13.124438973138975,15.4467100931899,5.320949937168393,13.113759145538607,161,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*cos( 0.0+1.0*(x_3^1.0 * x_4^3.0) ) + 1.0*exp( 0.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + 1.0*identity( 0.0+1.0*(x_4^1.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_4^3.0) ) + 1.0*log( 0.0+1.0*(x_3^-1.0 * x_5^-3.0) ) + 1.0*log( 0.0+1.0*(x_3^-1.0 * x_5^-2.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 1.0*log( 0.0+1.0*(x_1^1.0 * x_5^-2.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0) ) + 1.0*tan( 0.0+1.0*(x_5^-3.0) ) + 1.0*tan( 0.0+1.0*(x_3^2.0 * x_4^2.0) ) + 0.0
airfoil,1,3,175.952233962,15.560873911842696,5.004721577865902,13.258975793591938,16.252287163857734,5.890418562794058,13.944364385197911,164,1.0*cos( 0.0+1.0*(x_4^1.0) ) + 1.0*identity( 0.0+1.0*(x_4^1.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0 * x_5^-3.0) ) + 1.0*cos( 0.0+1.0*(x_4^3.0) ) + 1.0*exp( 0.0+1.0*(x_2^1.0 * x_4^-1.0) ) + 1.0*exp( 0.0+1.0*(x_2^1.0 * x_3^1.0) ) + 1.0*log( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 1.0*log( 0.0+1.0*(x_3^-3.0 * x_5^-2.0) ) + 1.0*log( 0.0+1.0*(x_4^2.0 * x_5^-3.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^1.0) ) + 1.0*sqrt( 0.0+1.0*(x_2^3.0 * x_4^-1.0) ) + 1.0*log( 0.0+1.0*(x_1^2.0 * x_5^-2.0) ) + 1.0*tan( 0.0+1.0*(x_3^-2.0 * x_4^-2.0) ) + 1.0*tan( 0.0+1.0*(x_3^-2.0 * x_4^-1.0) ) + 1.0*tan( 0.0+1.0*(x_3^-1.0) ) + 0.0
