Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,0,0,216.797814366,2.8020833894385695,0.16483964493218495,2.1368920049303557,2.873257123015536,0.1738592071609116,2.1375029134170402,169,-1698.257*identity( 0.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + -62812.766*identity( 0.0+1.0*(x_1^-2.0 * x_2^1.0) ) + -670.603*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + 307991.647*tan( 0.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + -1.345*tan( 0.0+1.0*(x_1^-3.0) ) + 918439.478*tan( 0.0+1.0*(x_1^-2.0) ) + 2.169*cos( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 10.515*log( 0.0+1.0*(x_1^-1.0 * x_4^2.0) ) + 8802.134*exp( 0.0+1.0*(x_1^-1.0 * x_3^2.0) ) + 0.446*cos( 0.0+1.0*(x_3^-2.0 * x_4^3.0) ) + 4.078*log( 0.0+1.0*(x_3^-1.0 * x_4^-3.0) ) + -2.337*log( 0.0+1.0*(x_5^2.0) ) + 15.423*sqrt( 0.0+1.0*(x_4^-3.0 * x_5^-1.0) ) + 195.379*tan( 0.0+1.0*(x_4^-1.0) ) + -97034.039*tan( 0.0+1.0*(x_4^-1.0 * x_5^2.0) ) + -8665.0
airfoil,0,1,204.970774508,2.765695755104836,0.16058625321786799,2.074451194741458,2.9493771984220425,0.18319319942459972,2.062758424669004,157,2520.846*sin( 0.0+1.0*(x_1^-3.0 * x_3^-3.0) ) + 6364.913*sin( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + -3598.939*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-1.0) ) + -664.359*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + -32.893*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-3.0) ) + -0.471*identity( 0.0+1.0*(x_2^1.0) ) + -2.027*log( 0.0+1.0*(x_1^-2.0 * x_3^3.0) ) + 12.278*log( 0.0+1.0*(x_1^-1.0) ) + 4.301*sin( 0.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + -0.188*sin( 0.0+1.0*(x_3^-3.0) ) + 98.84*sin( 0.0+1.0*(x_4^-3.0 * x_5^-1.0) ) + -424.386*sqrt( 0.0+1.0*(x_4^-1.0 * x_5^1.0) ) + 2.1*log( 0.0+1.0*(x_4^1.0) ) + -17.698*sin( 0.0+1.0*(x_1^1.0 * x_4^-3.0) ) + 178.0
airfoil,0,2,181.390436974,2.663137358253896,0.14889725549891186,2.06635478196957,2.8662588474084005,0.17301331495891945,2.1083723248830593,166,-0.713*cos( 0.0+1.0*(x_3^-2.0) ) + 457935.795*sin( 0.0+1.0*(x_1^-3.0 * x_5^-1.0) ) + -727.516*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + 6.159*log( 0.0+1.0*(x_1^-2.0) ) + -0.542*log( 0.0+1.0*(x_4^-3.0 * x_5^-2.0) ) + -1.204*log( 0.0+1.0*(x_4^-3.0) ) + -6.142*log( 0.0+1.0*(x_3^1.0 * x_5^1.0) ) + -31.903*sqrt( 0.0+1.0*(x_1^-2.0 * x_2^3.0) ) + -94.384*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 4218.491*sin( 0.0+1.0*(x_1^-1.0) ) + 9.971*sin( 0.0+1.0*(x_2^3.0 * x_4^-3.0) ) + 0.44*sin( 0.0+1.0*(x_2^3.0 * x_3^1.0) ) + 3273.295*tan( 0.0+1.0*(x_3^-1.0 * x_4^-3.0) ) + 5372.918*tan( 0.0+1.0*(x_4^-3.0) ) + -105413.703*tan( 0.0+1.0*(x_4^-1.0 * x_5^2.0) ) + 170.0
airfoil,0,3,154.236420765,2.872642355440318,0.17324578542537547,2.200235118688833,2.958322399087481,0.184306102139372,2.1118307732081845,118,-132407.44*identity( 0.0+1.0*(x_3^1.0 * x_4^-3.0) ) + 1.655*log( 0.0+1.0*(x_1^-3.0 * x_3^-1.0) ) + 2.186*log( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + 690800.121*sin( 0.0+1.0*(x_1^-3.0 * x_5^-1.0) ) + 0.612*sin( 0.0+1.0*(x_3^-2.0) ) + -620.849*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + -11.268*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 2.518*log( 0.0+1.0*(x_3^-2.0 * x_4^1.0) ) + -110049.993*sin( 0.0+1.0*(x_4^-1.0 * x_5^2.0) ) + -0.682*sqrt( 0.0+1.0*(x_2^2.0 * x_5^1.0) ) + 176.0
airfoil,0,4,132.79796163,2.8149655585953273,0.16635878131505524,2.122686579866616,2.89383251267422,0.17635813365169895,2.054717957962861,130,86.958*exp( 0.0+1.0*(x_4^-3.0 * x_5^-1.0) ) + 2229.338*tan( 0.0+1.0*(x_1^-3.0 * x_3^-3.0) ) + -236.756*identity( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 0.003*identity( 0.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + -19.682*identity( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + -0.024*identity( 0.0+1.0*(x_3^-1.0) ) + 0.767*log( 0.0+1.0*(x_3^-3.0 * x_4^-2.0) ) + 1.545*log( 0.0+1.0*(x_3^-2.0 * x_5^-3.0) ) + -3.136*log( 0.0+1.0*(x_1^3.0 * x_4^-2.0) ) + -23.228*sin( 0.0+1.0*(x_3^1.0 * x_5^3.0) ) + -2484.579*sin( 0.0+1.0*(x_2^1.0 * x_5^3.0) ) + 60.0
airfoil,0,5,76.855422321,3.2036686870503557,0.21547393948784152,2.5432749971994,3.1853807952878572,0.21368371498982977,2.394847706002139,157,0.146*log( 0.0+1.0*(x_4^-3.0) ) + 0.062*log( 0.0+1.0*(x_3^3.0) ) + -1.365*log( 0.0+1.0*(x_1^1.0 * x_3^3.0) ) + -4541.932*sin( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -119223.754*sin( 0.0+1.0*(x_5^3.0) ) + 58.078*sin( 0.0+1.0*(x_1^1.0 * x_5^3.0) ) + 4311.436*tan( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 64.342*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^1.0) ) + 403.574*sqrt( 0.0+1.0*(x_5^2.0) ) + 0.137*sqrt( 0.0+1.0*(x_4^3.0 * x_5^2.0) ) + 0.02*sqrt( 0.0+1.0*(x_3^1.0 * x_4^3.0) ) + -16.63*sqrt( 0.0+1.0*(x_1^1.0 * x_5^2.0) ) + -0.275*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + -19435.357*tan( 0.0+1.0*(x_1^-1.0 * x_3^2.0) ) + 135.0
airfoil,1,0,123.345414697,2.934645218547712,0.17800129613499524,2.1553984923669964,2.7665053120971743,0.1706790427046897,2.0800192038361174,118,588472.02*exp( 0.0+1.0*(x_1^-2.0) ) + -5.022*log( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 18.41*log( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 1.178*log( 0.0+1.0*(x_4^2.0 * x_5^-3.0) ) + -556.342*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + -114.353*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -8779.008*sqrt( 0.0+1.0*(x_1^-1.0 * x_5^3.0) ) + -53.198*tan( 0.0+1.0*(x_3^-2.0 * x_5^3.0) ) + -19223.142*sqrt( 0.0+1.0*(x_4^-2.0 * x_5^3.0) ) + 0.368*sqrt( 0.0+1.0*(x_3^1.0 * x_5^-1.0) ) + -588278.0
airfoil,1,1,198.312157548,3.0605395352866243,0.1936011543436548,2.3277742346260677,3.2075889261612334,0.2294428836906944,2.443085041524221,163,168358.195*identity( 0.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + 2.098*log( 0.0+1.0*(x_1^-2.0 * x_4^-3.0) ) + -6123.213*sin( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + -302242.512*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^1.0) ) + 130735.029*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^1.0) ) + -5.184*identity( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 0.02*tan( 0.0+1.0*(x_3^-2.0 * x_5^-1.0) ) + -1.504*sin( 0.0+1.0*(x_3^-1.0) ) + 76.082*sin( 0.0+1.0*(x_4^-3.0 * x_5^-1.0) ) + 0.245*sin( 0.0+1.0*(x_4^-2.0 * x_5^-1.0) ) + -181.8*sin( 0.0+1.0*(x_4^-1.0) ) + -3416.247*sin( 0.0+1.0*(x_4^-1.0 * x_5^1.0) ) + -3.03*log( 0.0+1.0*(x_3^2.0 * x_4^-2.0) ) + -1.209*sqrt( 0.0+1.0*(x_1^1.0 * x_5^1.0) ) + 155.0
airfoil,1,2,267.430405003,3.121198600753324,0.20135145006198443,2.286184469328611,3.2107975287884574,0.22990214406863757,2.3738265665321334,157,-0.997*cos( 0.0+1.0*(x_3^-1.0) ) + 3.539*log( 0.0+1.0*(x_1^-2.0 * x_4^-2.0) ) + -2.34*log( 0.0+1.0*(x_4^-2.0 * x_5^2.0) ) + -2.968*log( 0.0+1.0*(x_3^2.0 * x_4^-2.0) ) + -12.339*sin( 0.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + 303.693*sin( 0.0+1.0*(x_3^3.0) ) + 157.431*sqrt( 0.0+1.0*(x_3^2.0) ) + -291.16*sqrt( 0.0+1.0*(x_3^3.0) ) + 2.399*sqrt( 0.0+1.0*(x_2^2.0 * x_5^1.0) ) + -57.813*sqrt( 0.0+1.0*(x_2^2.0 * x_5^3.0) ) + 14626.479*tan( 0.0+1.0*(x_1^-3.0 * x_3^-3.0) ) + 277.33*tan( 0.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + -1822.117*tan( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + -3338.33*tan( 0.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + 122.0
airfoil,1,3,151.93228499,2.946955529833534,0.1794977954763158,2.162644883894141,2.752560673594023,0.1689627552493923,2.087908842143006,133,1427.991*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + -1425.087*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-1.0) ) + -457.401*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + 590347.839*identity( 0.0+1.0*(x_1^-2.0) ) + 5.904*log( 0.0+1.0*(x_1^-2.0 * x_5^1.0) ) + -7.559*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + -0.094*sqrt( 0.0+1.0*(x_1^-1.0 * x_5^-2.0) ) + 6.746*log( 0.0+1.0*(x_3^-1.0) ) + 10.417*log( 0.0+1.0*(x_4^-1.0 * x_5^-1.0) ) + -3873.545*tan( 0.0+1.0*(x_4^-1.0 * x_5^1.0) ) + 6.588*log( 0.0+1.0*(x_4^2.0) ) + -1147.934*sin( 0.0+1.0*(x_5^2.0) ) + 177.0
airfoil,1,4,67.84262469,3.432218213643726,0.24347912804335117,2.6234115382102132,3.2789165509085834,0.23976065107843303,2.595467767154965,100,-13.368*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-2.0) ) + 3.122*sqrt( 0.0+1.0*(x_3^-1.0) ) + -0.113*sqrt( 0.0+1.0*(x_5^-1.0) ) + -615.969*sqrt( 0.0+1.0*(x_3^1.0 * x_4^-2.0) ) + 264.449*sqrt( 0.0+1.0*(x_3^3.0 * x_4^-2.0) ) + 0.227*sqrt( 0.0+1.0*(x_1^1.0 * x_4^-2.0) ) + -0.112*sqrt( 0.0+1.0*(x_1^1.0) ) + -1.82*sqrt( 0.0+1.0*(x_1^1.0 * x_5^1.0) ) + -0.045*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + 138.0
airfoil,1,5,146.18843127,2.9635122259438793,0.18152038374764937,2.2258803615252205,2.8136041310449817,0.1765400183291974,2.1511949832389186,166,-1.028*log( 0.0+1.0*(x_1^-1.0 * x_5^3.0) ) + 11.703*log( 0.0+1.0*(x_1^-1.0 * x_3^1.0) ) + 21.479*log( 0.0+1.0*(x_3^-1.0) ) + -5.85*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-3.0) ) + 0.665*cos( 0.0+1.0*(x_1^1.0 * x_2^1.0) ) + -0.228*cos( 0.0+1.0*(x_1^2.0 * x_3^-1.0) ) + -7.568*sin( 0.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + 19.031*sin( 0.0+1.0*(x_1^1.0 * x_5^3.0) ) + -2858.901*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^2.0) ) + -122.226*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 6.429*sqrt( 0.0+1.0*(x_4^2.0 * x_5^3.0) ) + 0.195*sqrt( 0.0+1.0*(x_3^1.0 * x_4^2.0) ) + -28.358*sqrt( 0.0+1.0*(x_1^1.0 * x_5^3.0) ) + -0.027*tan( 0.0+1.0*(x_3^3.0 * x_4^2.0) ) + 177.0
