Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,0,0,157.810634306,3.0169783926462075,0.19109263924908573,2.256011877138535,3.138890933907505,0.20749190695239614,2.1598245140867016,169,-16.724*identity( 0.0+1.0*(x_1^-1.0 * x_3^1.0 * x_5^-1.0) ) + -0.0*identity( 0.0+1.0*(x_3^-1.0 * x_4^3.0 * x_5^2.0) ) + 1.197*log( 0.0+1.0*(x_1^-1.0 * x_3^1.0 * x_5^-2.0) ) + -1.847*log( 0.0+1.0*(x_1^2.0 * x_3^3.0 * x_4^-3.0) ) + 0.0*sin( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^1.0 * x_5^1.0) ) + -0.0*sin( 0.0+1.0*(x_4^-1.0 * x_5^3.0) ) + -1.509*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^2.0 * x_5^-2.0) ) + -19.356*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-3.0 * x_4^1.0 * x_5^1.0) ) + -175.924*sqrt( 0.0+1.0*(x_3^-1.0 * x_4^-1.0 * x_5^2.0) ) + -0.019*sqrt( 0.0+1.0*(x_1^2.0 * x_3^1.0 * x_5^1.0) ) + -0.0*sqrt( 0.0+1.0*(x_1^2.0 * x_2^1.0) ) + 124.0
airfoil,0,1,238.856593756,2.718685821608619,0.15517351704656185,2.0547050760344057,2.9780839352037494,0.1867766486308962,2.1230023169658305,169,2.014*log( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^2.0 * x_5^-1.0) ) + 4.275*log( 0.0+1.0*(x_3^-1.0) ) + -615.829*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + 3603.62*tan( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + 0.445*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^1.0) ) + 16860.012*tan( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_5^-1.0) ) + -523.777*tan( 0.0+1.0*(x_1^-3.0 * x_2^3.0 * x_5^-1.0) ) + -235.772*sin( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 3.298*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -1563.86*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^-1.0 * x_5^3.0) ) + -303.732*sqrt( 0.0+1.0*(x_5^3.0) ) + -0.262*cos( 0.0+1.0*(x_4^3.0 * x_5^-1.0) ) + -1.235*log( 0.0+1.0*(x_1^3.0 * x_3^-1.0 * x_5^2.0) ) + 154.0
airfoil,0,2,225.382062727,3.0005318226957463,0.1890148967085984,2.2398171454782205,3.1267546679979654,0.2058905077022708,2.169551259623302,190,-2.931*sin( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^2.0) ) + 0.0*identity( 0.0+1.0*(x_1^-3.0 * x_3^-2.0 * x_4^3.0 * x_5^-2.0) ) + -0.257*log( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^3.0 * x_5^-3.0) ) + 0.0*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^3.0 * x_5^-3.0) ) + 0.207*sin( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^3.0) ) + 2.812*log( 0.0+1.0*(x_1^-3.0 * x_3^-2.0 * x_4^3.0 * x_5^-2.0) ) + -0.097*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-2.0 * x_4^3.0 * x_5^-2.0) ) + 1.153*sin( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^2.0 * x_5^-2.0) ) + -12.108*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^3.0 * x_4^1.0 * x_5^-3.0) ) + -563.178*sqrt( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_3^-3.0 * x_5^2.0) ) + 23.382*sqrt( 0.0+1.0*(x_3^3.0 * x_4^-2.0 * x_5^-1.0) ) + 119.0
airfoil,0,3,140.36424819,3.535815821852696,0.26246949081688037,2.680782676788892,3.627599808917271,0.27713249484582375,2.7066107739928325,91,2.307*log( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^3.0 * x_5^-2.0) ) + 19523.49*sin( 0.0+1.0*(x_1^-3.0 * x_3^3.0 * x_4^-1.0 * x_5^-3.0) ) + 1718.746*sin( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_3^1.0 * x_5^-2.0) ) + -10210.023*sin( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + -1.734*identity( 0.0+1.0*(x_1^-2.0 * x_2^2.0 * x_3^-2.0) ) + -6996.822*cos( 0.0+1.0*(x_4^-1.0) ) + 7118.0
airfoil,0,4,179.351107884,2.715958940719035,0.15486239062860813,2.0630068069850216,2.8961956586027804,0.17664628451726397,2.062567589172357,169,-0.397*cos( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_4^1.0 * x_5^-2.0) ) + 9.661*cos( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 1.773*log( 0.0+1.0*(x_1^-1.0 * x_3^-3.0 * x_5^1.0) ) + -7.151*log( 0.0+1.0*(x_1^1.0 * x_4^-1.0 * x_5^1.0) ) + 565557.147*sin( 0.0+1.0*(x_1^-2.0 * x_3^-2.0 * x_4^-2.0) ) + -2.957*sin( 0.0+1.0*(x_1^-2.0 * x_3^-1.0 * x_4^1.0 * x_5^-1.0) ) + -228.221*sin( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + 1.471*sin( 0.0+1.0*(x_1^-1.0 * x_3^-1.0 * x_4^1.0) ) + -20.351*sin( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + -43047.286*sin( 0.0+1.0*(x_3^2.0 * x_5^2.0) ) + 233.672*sqrt( 0.0+1.0*(x_1^-1.0 * x_4^-2.0 * x_5^-1.0) ) + 200.999*sqrt( 0.0+1.0*(x_4^-3.0) ) + 119.0
airfoil,0,5,139.468914451,3.541573234176146,0.26332495131889966,2.7599873110673596,3.5966862231327155,0.27242929939685917,2.6895833848566615,151,1.66*log( 0.0+1.0*(x_1^1.0 * x_3^-1.0 * x_4^2.0 * x_5^1.0) ) + -19.385*sqrt( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_3^-3.0) ) + 0.909*sqrt( 0.0+1.0*(x_2^3.0 * x_3^-3.0 * x_4^-3.0 * x_5^1.0) ) + -0.113*sqrt( 0.0+1.0*(x_1^1.0 * x_2^2.0 * x_5^1.0) ) + -6.375*sqrt( 0.0+1.0*(x_1^2.0 * x_4^-3.0 * x_5^1.0) ) + -0.009*sqrt( 0.0+1.0*(x_1^2.0 * x_3^2.0) ) + -0.016*sqrt( 0.0+1.0*(x_1^2.0 * x_2^3.0 * x_3^-1.0 * x_4^-3.0 * x_5^1.0) ) + 0.002*sqrt( 0.0+1.0*(x_1^3.0 * x_3^3.0 * x_4^-3.0 * x_5^-1.0) ) + 0.002*sqrt( 0.0+1.0*(x_1^3.0 * x_2^3.0 * x_4^-3.0 * x_5^1.0) ) + 114.0
airfoil,1,0,167.261252505,2.961211032963495,0.18123858888939495,2.179200964377414,2.8506648286249776,0.18122140633478914,2.0839133124067297,196,1.531*log( 0.0+1.0*(x_1^-1.0 * x_3^-2.0 * x_4^-3.0 * x_5^1.0) ) + 0.0*log( 0.0+1.0*() ) + -2.132*log( 0.0+1.0*(x_1^3.0 * x_4^-3.0 * x_5^3.0) ) + -190.934*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + 196.624*tan( 0.0+1.0*(x_1^-3.0 * x_4^2.0 * x_5^-1.0) ) + 101526.082*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^2.0) ) + -118.104*sqrt( 0.0+1.0*(x_1^-3.0 * x_2^2.0 * x_3^-1.0 * x_5^-1.0) ) + 21224.802*tan( 0.0+1.0*(x_1^-2.0 * x_3^-2.0 * x_4^-1.0) ) + -9.723*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-1.0 * x_4^1.0 * x_5^-1.0) ) + -161.519*sqrt( 0.0+1.0*(x_1^-1.0 * x_3^1.0 * x_4^-1.0 * x_5^-1.0) ) + -0.167*sqrt( 0.0+1.0*(x_1^2.0 * x_3^1.0 * x_4^-1.0 * x_5^1.0) ) + 4.498*sqrt( 0.0+1.0*(x_1^3.0 * x_3^2.0 * x_4^-3.0 * x_5^3.0) ) + -99429.694*tan( 0.0+1.0*(x_4^-1.0 * x_5^2.0) ) + 155.0
airfoil,1,1,196.380285159,3.281727223434871,0.22259577349540638,2.486415986992331,3.3013060385977044,0.24304615448981,2.471938309436179,130,427246.133*exp( 0.0+1.0*(x_1^-3.0 * x_3^-2.0) ) + -2617.305*exp( 0.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + 10.71*cos( 0.0+1.0*(x_1^-2.0 * x_5^-2.0) ) + 5.956*cos( 0.0+1.0*(x_1^-2.0 * x_2^1.0 * x_5^-2.0) ) + -35108.494*exp( 0.0+1.0*(x_5^3.0) ) + -6.169*identity( 0.0+1.0*(x_1^2.0 * x_3^2.0 * x_4^-3.0 * x_5^1.0) ) + -0.92*log( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^1.0 * x_5^2.0) ) + 3.362*log( 0.0+1.0*(x_1^-2.0 * x_3^-2.0 * x_4^3.0 * x_5^-1.0) ) + -1.945*log( 0.0+1.0*(x_1^1.0 * x_4^3.0 * x_5^-1.0) ) + -389405.0
airfoil,1,2,325.667025631,2.891548270880686,0.17281158278602593,2.172650472619971,2.8908144281475563,0.1863621056141351,2.1817175008171112,226,-0.001*identity( 0.0+1.0*(x_2^1.0 * x_5^-1.0) ) + 1.811*log( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^2.0) ) + -0.368*log( 0.0+1.0*(x_1^-1.0 * x_3^-2.0 * x_5^3.0) ) + -3.086*sin( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^1.0 * x_5^-1.0) ) + 1796.268*sin( 0.0+1.0*(x_1^-3.0 * x_3^-1.0 * x_4^2.0) ) + -5.353*sin( 0.0+1.0*(x_1^-2.0 * x_3^-3.0) ) + 0.967*sin( 0.0+1.0*(x_1^-2.0 * x_3^-2.0 * x_4^1.0 * x_5^-1.0) ) + -141.894*sin( 0.0+1.0*(x_1^-2.0 * x_4^1.0 * x_5^-1.0) ) + 0.686*sin( 0.0+1.0*(x_1^-2.0 * x_3^3.0 * x_4^2.0 * x_5^-2.0) ) + 1.018*sin( 0.0+1.0*(x_3^-2.0) ) + 0.614*sin( 0.0+1.0*(x_1^3.0 * x_3^1.0 * x_4^-1.0 * x_5^3.0) ) + -8.953*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^-3.0 * x_4^3.0 * x_5^1.0) ) + 3125.297*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^2.0 * x_4^2.0) ) + -370.673*sqrt( 0.0+1.0*(x_4^-1.0 * x_5^1.0) ) + -0.0*sqrt( 0.0+1.0*(x_1^3.0 * x_4^-1.0 * x_5^1.0) ) + 141.0
airfoil,1,3,169.196987016,3.2034819436126947,0.2121077394022226,2.3875205637197143,3.095361438404926,0.21366821270991818,2.3175336093042924,148,4.305*log( 0.0+1.0*(x_1^-1.0 * x_3^1.0) ) + 173.273*exp( 0.0+1.0*(x_1^-1.0 * x_2^1.0 * x_3^2.0 * x_4^1.0) ) + -7.961*log( 0.0+1.0*(x_3^1.0) ) + 0.022*identity( 0.0+1.0*(x_1^3.0 * x_4^-3.0 * x_5^3.0) ) + -190.605*sqrt( 0.0+1.0*(x_1^-3.0 * x_3^1.0 * x_4^2.0 * x_5^-1.0) ) + -168.462*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + -314.465*sqrt( 0.0+1.0*(x_2^1.0 * x_3^2.0 * x_5^2.0) ) + -50.256*sqrt( 0.0+1.0*(x_1^1.0 * x_3^-2.0 * x_4^-3.0 * x_5^3.0) ) + -121.815*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0 * x_4^-2.0 * x_5^1.0) ) + -0.005*sqrt( 0.0+1.0*(x_1^1.0 * x_2^2.0) ) + -16.0
