Dataset,Fold,Rep,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,0,0,262.833924646,3.968306369811369,0.3306054033391761,3.022739984556221,4.009064707076771,0.3384814264569309,2.9212370118167907,61,-2.636*log( 0.0+1.0*(x_1^-1.0 * x_4^-2.0) ) + -0.522*log( 0.0+1.0*(x_3^-3.0 * x_4^-2.0) ) + -20.578*sqrt( 0.0+1.0*(x_1^1.0 * x_5^3.0) ) + -0.592*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + -0.023*sqrt( 0.0+1.0*(x_1^1.0 * x_2^1.0) ) + 97.0
airfoil,0,1,968.340150968,4.208928205876775,0.3719140580558864,3.4362471112027446,4.120371984679013,0.35753746948735676,3.275288989962327,61,-2661.951*identity( 0.0+1.0*(x_1^-3.0 * x_3^-3.0) ) + -1.175*sin( 0.0+1.0*(x_4^-3.0 * x_5^-2.0) ) + -33602.289*sin( 0.0+1.0*(x_3^1.0 * x_4^-2.0) ) + -0.199*sqrt( 0.0+1.0*(x_2^3.0 * x_5^1.0) ) + -0.021*sqrt( 0.0+1.0*(x_1^2.0 * x_5^1.0) ) + 133.0
airfoil,0,2,328.90611117,4.118345181637691,0.35607792295608603,3.2261110641684976,4.0967141781348575,0.35344353368798964,3.1111041330251155,61,23.2*cos( 0.0+1.0*(x_1^-2.0 * x_3^-3.0) ) + 0.567*log( 0.0+1.0*(x_3^-3.0 * x_4^3.0) ) + -9216.512*sqrt( 0.0+1.0*(x_3^3.0 * x_5^3.0) ) + -0.017*sqrt( 0.0+1.0*(x_1^2.0 * x_5^1.0) ) + -0.004*sqrt( 0.0+1.0*(x_1^2.0 * x_3^3.0) ) + 96.0
airfoil,0,3,1279.531910132,2.9180100025204063,0.17876113834753612,2.240308049510105,3.1432748395408017,0.2080718953425192,2.2816380327914545,130,4.365*identity( 0.0+1.0*(x_1^-2.0 * x_4^2.0) ) + -142.633*identity( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -10.045*identity( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 2.986*identity( 0.0+1.0*(x_3^-3.0 * x_4^-3.0) ) + -0.001*identity( 0.0+1.0*(x_3^-2.0) ) + -1.775*log( 0.0+1.0*(x_3^1.0 * x_4^-3.0) ) + 0.0*sin( 0.0+1.0*(x_3^3.0 * x_5^3.0) ) + -3.319*sqrt( 0.0+1.0*(x_1^1.0 * x_5^1.0) ) + -0.508*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + 0.104*sqrt( 0.0+1.0*(x_1^2.0 * x_5^2.0) ) + 0.007*sqrt( 0.0+1.0*(x_1^2.0 * x_3^3.0) ) + 122.0
airfoil,0,4,409.774083002,3.3330318577040967,0.23322681878588974,2.583289947575766,3.3563592758109637,0.23723873339313933,2.506309776334977,91,-451.282*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + -1133.476*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-1.0) ) + -22.374*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-3.0) ) + 553.328*sqrt( 0.0+1.0*(x_1^-2.0 * x_5^-1.0) ) + 1.054*sqrt( 0.0+1.0*(x_4^1.0) ) + -25.62*sqrt( 0.0+1.0*(x_3^1.0) ) + -300.339*sqrt( 0.0+1.0*(x_3^1.0 * x_5^2.0) ) + -0.017*sqrt( 0.0+1.0*(x_1^2.0 * x_5^1.0) ) + 129.0
airfoil,0,5,332.064134477,3.3877759846417295,0.24095110880384848,2.6601758004092684,3.5519303107119464,0.265691452670372,2.626321171520417,70,-102.994*sin( 0.0+1.0*(x_1^-1.0 * x_3^-1.0) ) + -7.584*sqrt( 0.0+1.0*(x_1^-1.0 * x_5^-1.0) ) + 0.008*sqrt( 0.0+1.0*(x_4^3.0) ) + -1.846*sqrt( 0.0+1.0*(x_1^1.0 * x_5^1.0) ) + -1.679*sqrt( 0.0+1.0*(x_1^1.0 * x_3^2.0) ) + 1.838*sqrt( 0.0+1.0*(x_1^1.0 * x_3^3.0) ) + 139.0
airfoil,1,0,214.767324604,4.270787854765806,0.3769883699844779,3.2912830978458913,4.316264814053638,0.41546394947404297,3.3101399040942896,67,-4.752*log( 0.0+1.0*(x_1^-1.0 * x_3^-3.0) ) + 5.741*log( 0.0+1.0*(x_3^-2.0) ) + 0.102*sqrt( 0.0+1.0*(x_4^2.0) ) + 0.012*sqrt( 0.0+1.0*(x_2^3.0 * x_3^-1.0) ) + -0.806*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + -0.004*sqrt( 0.0+1.0*(x_1^1.0 * x_2^3.0) ) + 107.0
airfoil,1,1,477.974048934,3.3350333766358906,0.2298858942048372,2.5145315668865953,3.1856562001840696,0.22631586015252053,2.522772482245865,82,-233.882*sqrt( 0.0+1.0*(x_1^-3.0 * x_5^-2.0) ) + -122.679*sqrt( 0.0+1.0*(x_1^-2.0 * x_3^-2.0) ) + 241.977*sqrt( 0.0+1.0*(x_1^-1.0) ) + -326.592*sqrt( 0.0+1.0*(x_4^-1.0 * x_5^1.0) ) + -91.044*sqrt( 0.0+1.0*(x_3^2.0 * x_4^-1.0) ) + -1.01*sqrt( 0.0+1.0*(x_1^1.0 * x_5^1.0) ) + -0.498*sqrt( 0.0+1.0*(x_1^1.0 * x_3^2.0) ) + 135.0
airfoil,1,2,408.922881774,4.270280399518631,0.37689878774927504,3.3291319878891588,4.249077120221534,0.40263025721961887,3.3172475312361493,70,0.272*log( 0.0+1.0*(x_3^-1.0 * x_5^-3.0) ) + 1.418*log( 0.0+1.0*(x_4^3.0) ) + 0.322*log( 0.0+1.0*(x_1^2.0 * x_3^-1.0) ) + 0.0*sqrt( 0.0+1.0*(x_1^2.0 * x_3^-1.0) ) + -0.019*sqrt( 0.0+1.0*(x_1^2.0 * x_5^1.0) ) + -0.007*sqrt( 0.0+1.0*(x_1^2.0 * x_3^3.0) ) + 103.0
airfoil,1,3,493.938339441,3.910383044135967,0.3160461881570242,3.0155570318646245,4.065313163050236,0.36855744949209235,3.1027817694054574,85,-13.639*sin( 0.0+1.0*(x_1^-1.0 * x_2^2.0) ) + 0.338*sin( 0.0+1.0*(x_4^1.0 * x_5^-3.0) ) + 3.142*sqrt( 0.0+1.0*(x_4^2.0 * x_5^2.0) ) + 0.85*sqrt( 0.0+1.0*(x_3^1.0 * x_4^1.0) ) + -563.147*sqrt( 0.0+1.0*(x_3^2.0 * x_4^-2.0) ) + -8.234*sqrt( 0.0+1.0*(x_1^1.0 * x_5^2.0) ) + -0.379*sqrt( 0.0+1.0*(x_1^1.0 * x_3^1.0) ) + 134.0
